Courses By Organization,,,Students Enrolled by Certificate Type,,,Enrollment Dmand Vs Rating,
,,,,,,,
Row Labels,Count of Course Title,,Row Labels,Sum of Students Enrolled,,Row Labels,Count of Reviews(Num)
University of Minnesota,7,,,,,,
University of New Mexico,1,,,,,,
University of Pennsylvania,55,,,,,,
University of Pittsburgh,1,,,,,,
University of Toronto,8,,,,,,
University of Virginia,17,,,,,,
University of Virginia Darden School Foundation,1,,,,,,
University of Washington,5,,,,,,
University System of Georgia,5,,,,,,
UNSW Sydney (The University of New South Wales),1,,,,,,
Utrecht University,1,,,,,,
Vanderbilt University,8,,,,,,
Wesleyan University,6,,,,,,
West Virginia University,2,,,,,,
Whizlabs,1,,,,,,
Yale University,17,,,,,,
Yonsei University,3,,,,,,
Grand Total,1000,,,,,,
